action,type,price,direction,timeframe,timestamp

buy,short,false,down,4h,2025-02-22T09:32:22.414Z
buy,short,false,down,4h,2025-02-22T09:32:36.889Z
buy,short,false,down,4h,2025-02-22T09:32:47.396Z
buy,short,false,down,4h,2025-02-22T09:34:16.388Z
buy,short,false,down,4h,2025-02-22T09:39:07.573Z
buy,short,false,down,4h,2025-02-22T09:44:17.926Z
buy,short,false,down,4h,2025-02-22T09:46:28.426Z
buy,short,false,down,4h,2025-02-22T09:49:40.381Z
buy,short,false,down,4h,2025-02-22T09:49:43.793Z
buy,short,false,down,4h,2025-02-22T09:55:39.723Z
buy,short,false,down,4h,2025-02-22T09:55:51.027Z
buy,short,false,down,4h,2025-02-22T09:56:00.193Z
buy,short,false,down,4h,2025-02-22T09:58:16.346Z
buy,short,false,down,4h,2025-02-22T09:59:37.616Z
buy,short,false,down,4h,2025-02-22T09:59:40.873Z
buy,short,false,down,4h,2025-02-22T09:59:47.974Z
buy,short,false,down,4h,2025-02-22T10:03:42.403Z
buy,short,false,down,4h,2025-02-22T10:04:19.315Z
buy,short,false,down,4h,2025-02-22T10:04:20.683Z
buy,short,false,down,4h,2025-02-22T10:05:20.309Z
buy,short,false,down,4h,2025-02-22T10:38:35.874Z
buy,short,false,down,4h,2025-02-22T10:40:18.376Z
buy,short,false,down,4h,2025-02-22T10:43:46.154Z
buy,short,false,down,4h,2025-02-22T10:43:49.033Z
buy,short,false,down,4h,2025-02-22T10:44:38.171Z
buy,short,false,down,4h,2025-02-22T10:53:14.684Z
buy,short,false,down,4h,2025-02-22T10:55:06.953Z
buy,short,false,down,4h,2025-02-22T10:56:07.435Z
buy,short,false,down,4h,2025-02-22T11:00:16.293Z
buy,short,false,down,4h,2025-02-22T11:00:18.257Z
buy,short,false,down,4h,2025-02-22T11:02:06.557Z
buy,short,false,down,4h,2025-02-22T11:02:10.678Z
buy,short,false,down,4h,2025-02-22T11:07:34.462Z
buy,short,false,down,4h,2025-02-22T11:07:38.401Z
buy,short,false,down,4h,2025-02-22T11:07:41.129Z
buy,short,false,down,4h,2025-02-22T11:07:42.729Z
buy,short,false,down,4h,2025-02-22T11:40:12.607Z
buy,short,false,down,4h,2025-02-22T11:40:15.247Z
buy,short,false,down,4h,2025-02-22T11:40:17.045Z
buy,short,false,down,4h,2025-02-22T11:40:21.002Z
buy,short,false,down,4h,2025-02-22T11:40:22.962Z
buy,short,false,down,4h,2025-02-22T11:40:24.309Z
buy,short,false,down,4h,2025-02-22T11:48:49.707Z
buy,short,false,down,4h,2025-02-22T11:48:52.867Z
buy,short,false,down,4h,2025-02-22T11:48:55.349Z
buy,short,false,down,4h,2025-02-22T11:49:14.349Z
buy,short,false,down,4h,2025-02-22T11:49:26.710Z
buy,short,false,down,4h,2025-02-22T11:49:37.903Z
buy,short,false,down,4h,2025-02-22T11:49:59.097Z
buy,short,false,down,4h,2025-02-22T12:00:06.182Z
buy,short,false,down,4h,2025-02-22T12:03:28.450Z
buy,short,false,down,4h,2025-02-22T12:03:30.265Z
buy,short,false,down,4h,2025-02-22T12:03:32.602Z
buy,short,false,down,4h,2025-02-22T12:44:47.876Z
buy,short,false,down,4h,2025-02-22T16:20:28.881Z
buy,short,false,down,4h,2025-02-22T16:21:05.873Z
buy,short,false,down,4h,2025-02-22T16:21:54.318Z
buy,short,false,down,4h,2025-02-22T17:19:59.740Z
buy,short,false,down,4h,2025-02-22T17:21:25.743Z
buy,short,false,down,4h,2025-02-22T17:23:34.713Z
buy,short,false,down,4h,2025-02-22T17:23:59.929Z
buy,short,false,down,4h,2025-02-22T17:27:54.959Z
buy,short,false,down,4h,2025-02-22T17:29:19.956Z
buy,short,false,down,4h,2025-02-22T17:29:29.104Z
buy,short,false,down,4h,2025-02-22T17:29:31.195Z
buy,short,false,down,4h,2025-02-22T17:29:32.859Z
buy,short,false,down,4h,2025-02-22T17:29:45.479Z
buy,short,false,down,4h,2025-02-22T17:29:54.232Z
buy,short,false,down,4h,2025-02-22T17:30:01.695Z
buy,short,false,down,4h,2025-02-22T17:30:17.903Z
buy,short,false,down,4h,2025-02-22T17:30:46.278Z
buy,short,false,down,4h,2025-02-22T17:30:48.588Z
buy,short,false,down,4h,2025-02-22T17:32:35.183Z
buy,short,false,down,4h,2025-02-22T17:32:54.243Z
buy,short,false,down,4h,2025-02-22T17:32:59.293Z
buy,short,false,down,4h,2025-02-22T18:06:37.643Z
buy,short,false,down,4h,2025-02-22T18:07:10.258Z
